environment | time (s),RAF | RAF_star (nm)
649,0.0271982
650,0.026999
651,0.0268016
652,0.0266058
653,0.0264117
654,0.0262193
655,0.0260285
656,0.0258393
657,0.0256517
658,0.0254658
659,0.0252814
660,0.0250985
661,0.0249172
662,0.0247375
663,0.0245593
664,0.0243825
665,0.0242073
666,0.0240336
667,0.0238613
668,0.0236905
669,0.0235211
670,0.0233532
671,0.0231866
672,0.0230215
673,0.0228578
674,0.0226954
675,0.0225344
676,0.0223748
677,0.0222165
678,0.0220595
679,0.0219039
680,0.0217495
681,0.0215965
682,0.0214447
683,0.0212942
684,0.021145
685,0.020997
686,0.0208502
687,0.0207047
688,0.0205604
689,0.0204173
690,0.0202754
691,0.0201347
692,0.0199951
693,0.0198567
694,0.0197195
695,0.0195834
696,0.0194484
697,0.0193145
698,0.0191818
699,0.0190502
700,0.0189196
701,0.0187902
702,0.0186618
703,0.0185345
704,0.0184082
705,0.018283
706,0.0181588
707,0.0180356
708,0.0179135
709,0.0177923
710,0.0176722
711,0.017553
712,0.0174349
713,0.0173177
714,0.0172014
715,0.0170862
716,0.0169718
717,0.0168584
718,0.016746
719,0.0166345
720,0.0165238
721,0.0164141
722,0.0163053
723,0.0161974
724,0.0160904
725,0.0159842
726,0.0158789
727,0.0157745
728,0.0156709
729,0.0155681
730,0.0154662
731,0.0153652
732,0.0152649
733,0.0151655
734,0.0150669
735,0.0149691
736,0.014872
737,0.0147758
738,0.0146804
739,0.0145857
740,0.0144918
741,0.0143986
742,0.0143062
743,0.0142146
744,0.0141237
745,0.0140335
746,0.0139441
747,0.0138554
748,0.0137674
749,0.0136801
750,0.0135935
751,0.0135076
752,0.0134224
753,0.0133379
754,0.0132541
755,0.0131709
756,0.0130885
757,0.0130066
758,0.0129255
759,0.012845
760,0.0127651
761,0.0126859
762,0.0126073
763,0.0125293
764,0.012452
765,0.0123753
766,0.0122992
767,0.0122237
768,0.0121488
769,0.0120745
770,0.0120008
771,0.0119277
772,0.0118552
773,0.0117833
774,0.0117119
775,0.0116411
776,0.0115708
777,0.0115012
778,0.011432
779,0.0113634
780,0.0112954
781,0.0112279
782,0.011161
783,0.0110945
784,0.0110286
785,0.0109633
786,0.0108984
787,0.0108341
788,0.0107702
789,0.0107069
790,0.0106441
791,0.0105817
792,0.0105199
793,0.0104585
794,0.0103977
795,0.0103373
796,0.0102774
797,0.0102179
798,0.0101589
799,0.0101004
800,0.0100424
801,0.00998479
802,0.00992765
803,0.00987096
804,0.00981472
805,0.00975892
806,0.00970355
807,0.00964862
808,0.00959412
809,0.00954005
810,0.0094864
811,0.00943317
812,0.00938035
813,0.00932795
814,0.00927596
815,0.00922438
816,0.0091732
817,0.00912242
818,0.00907203
819,0.00902204
820,0.00897244
821,0.00892322
822,0.00887439
823,0.00882594
824,0.00877787
825,0.00873017
826,0.00868284
827,0.00863587
828,0.00858928
829,0.00854304
830,0.00849717
831,0.00845165
832,0.00840648
833,0.00836167
834,0.0083172
835,0.00827307
836,0.00822929
837,0.00818585
838,0.00814274
839,0.00809996
840,0.00805752
841,0.00801541
842,0.00797362
843,0.00793215
844,0.007891
845,0.00785017
846,0.00780966
847,0.00776945
848,0.00772956
849,0.00768998
850,0.0076507
851,0.00761172
852,0.00757304
853,0.00753466
854,0.00749658
855,0.00745878
856,0.00742128
857,0.00738407
858,0.00734714
859,0.00731049
860,0.00727413
861,0.00723804
862,0.00720224
863,0.0071667
864,0.00713144
865,0.00709645
866,0.00706172
867,0.00702727
868,0.00699307
869,0.00695914
870,0.00692546
871,0.00689205
872,0.00685889
873,0.00682598
874,0.00679332
875,0.00676091
876,0.00672875
877,0.00669684
878,0.00666517
879,0.00663374
880,0.00660254
881,0.00657159
882,0.00654087
883,0.00651039
884,0.00648013
885,0.00645011
886,0.00642032
887,0.00639075
888,0.00636141
889,0.00633229
890,0.00630339
891,0.00627471
892,0.00624624
893,0.006218
894,0.00618997
895,0.00616215
896,0.00613454
897,0.00610714
898,0.00607994
899,0.00605296
900,0.00602618
901,0.0059996
902,0.00597322
903,0.00594704
904,0.00592106
905,0.00589527
906,0.00586968
907,0.00584428
908,0.00581908
909,0.00579406
910,0.00576924
911,0.0057446
912,0.00572014
913,0.00569587
914,0.00567179
915,0.00564788
916,0.00562416
917,0.00560061
918,0.00557724
919,0.00555405
920,0.00553103
921,0.00550819
922,0.00548551
923,0.00546301
924,0.00544068
925,0.00541851
926,0.00539651
927,0.00537468
928,0.00535301
929,0.0053315
930,0.00531015
931,0.00528897
932,0.00526794
933,0.00524707
934,0.00522636
935,0.0052058
936,0.00518539
937,0.00516514
938,0.00514504
939,0.00512509
940,0.00510529
941,0.00508564
942,0.00506614
943,0.00504678
944,0.00502756
945,0.00500849
946,0.00498957
947,0.00497078
948,0.00495213
949,0.00493363
950,0.00491526
951,0.00489703
952,0.00487893
953,0.00486097
954,0.00484314
955,0.00482545
956,0.00480789
957,0.00479046
958,0.00477316
959,0.00475599
960,0.00473894
961,0.00472203
962,0.00470523
963,0.00468857
964,0.00467203
965,0.00465561
966,0.00463931
967,0.00462314
968,0.00460708
969,0.00459115
970,0.00457533
971,0.00455963
972,0.00454405
973,0.00452858
974,0.00451323
975,0.00449799
976,0.00448286
977,0.00446785
978,0.00445295
979,0.00443816
980,0.00442348
981,0.00440891
982,0.00439444
983,0.00438009
984,0.00436584
985,0.00435169
986,0.00433765
987,0.00432372
988,0.00430988
989,0.00429615
990,0.00428253
991,0.004269
992,0.00425557
993,0.00424225
994,0.00422902
995,0.00421589
996,0.00420285
997,0.00418991
998,0.00417707
999,0.00416433
1000,0.00415167
1001,0.00413911
1002,0.00412665
1003,0.00411427
1004,0.00410199
1005,0.0040898
1006,0.0040777
1007,0.00406569
1008,0.00405376
1009,0.00404193
1010,0.00403018
1011,0.00401852
1012,0.00400694
1013,0.00399545
1014,0.00398405
1015,0.00397273
1016,0.00396149
1017,0.00395034
1018,0.00393926
1019,0.00392827
1020,0.00391737
1021,0.00390654
1022,0.00389579
1023,0.00388512
1024,0.00387453
1025,0.00386401
1026,0.00385358
1027,0.00384322
1028,0.00383294
1029,0.00382273
1030,0.0038126
1031,0.00380254
1032,0.00379256
1033,0.00378265
1034,0.00377281
1035,0.00376305
1036,0.00375336
1037,0.00374374
1038,0.00373419
1039,0.00372471
1040,0.0037153
1041,0.00370596
1042,0.00369668
1043,0.00368748
1044,0.00367835
1045,0.00366928
1046,0.00366027
1047,0.00365134
1048,0.00364247
1049,0.00363366
1050,0.00362492
1051,0.00361625
1052,0.00360763
1053,0.00359909
1054,0.0035906
1055,0.00358218
1056,0.00357381
1057,0.00356551
1058,0.00355727
1059,0.00354909
1060,0.00354097
1061,0.00353292
1062,0.00352492
1063,0.00351697
1064,0.00350909
1065,0.00350127
1066,0.0034935
1067,0.00348579
1068,0.00347813
1069,0.00347053
1070,0.00346299
1071,0.00345551
1072,0.00344807
1073,0.0034407
1074,0.00343337
1075,0.0034261
1076,0.00341889
1077,0.00341172
1078,0.00340461
1079,0.00339755
1080,0.00339055
1081,0.00338359
1082,0.00337669
1083,0.00336983
1084,0.00336303
1085,0.00335628
1086,0.00334957
1087,0.00334292
1088,0.00333631
1089,0.00332975
1090,0.00332324
1091,0.00331678
1092,0.00331037
1093,0.003304
1094,0.00329768
1095,0.0032914
1096,0.00328518
1097,0.00327899
1098,0.00327286
1099,0.00326676
1100,0.00326072
1101,0.00325471
1102,0.00324875
1103,0.00324284
1104,0.00323696
1105,0.00323113
1106,0.00322535
1107,0.0032196
1108,0.0032139
1109,0.00320824
1110,0.00320262
1111,0.00319704
1112,0.00319151
1113,0.00318601
1114,0.00318056
1115,0.00317514
1116,0.00316976
1117,0.00316443
1118,0.00315913
1119,0.00315387
1120,0.00314865
1121,0.00314347
1122,0.00313832
1123,0.00313322
1124,0.00312815
1125,0.00312311
1126,0.00311812
1127,0.00311316
1128,0.00310824
1129,0.00310335
1130,0.0030985
1131,0.00309369
1132,0.00308891
1133,0.00308416
1134,0.00307945
1135,0.00307478
1136,0.00307014
1137,0.00306553
1138,0.00306096
1139,0.00305642
1140,0.00305191
1141,0.00304744
1142,0.003043
1143,0.00303859
1144,0.00303422
1145,0.00302987
1146,0.00302556
1147,0.00302128
1148,0.00301703
1149,0.00301281
1150,0.00300863
1151,0.00300447
1152,0.00300035
1153,0.00299625
1154,0.00299219
1155,0.00298815
1156,0.00298415
1157,0.00298017
1158,0.00297622
1159,0.0029723
1160,0.00296842
1161,0.00296455
1162,0.00296072
1163,0.00295692
1164,0.00295314
1165,0.00294939
1166,0.00294567
1167,0.00294198
1168,0.00293831
1169,0.00293467
1170,0.00293106
1171,0.00292747
1172,0.00292391
1173,0.00292038
1174,0.00291687
1175,0.00291339
1176,0.00290993
1177,0.0029065
1178,0.00290309
1179,0.00289971
1180,0.00289636
1181,0.00289303
1182,0.00288972
1183,0.00288644
1184,0.00288318
1185,0.00287994
1186,0.00287673
1187,0.00287355
1188,0.00287038
1189,0.00286724
1190,0.00286412
1191,0.00286103
1192,0.00285796
1193,0.00285491
1194,0.00285188
1195,0.00284888
1196,0.0028459
1197,0.00284294
1198,0.00284
1199,0.00283708
1200,0.00283419
1201,0.00283131
1202,0.00282846
1203,0.00282563
1204,0.00282282
1205,0.00282003
1206,0.00281726
1207,0.00281451
1208,0.00281178
1209,0.00280907
1210,0.00280638
1211,0.00280371
1212,0.00280106
1213,0.00279843
1214,0.00279582
1215,0.00279323
1216,0.00279066
1217,0.00278811
1218,0.00278557
1219,0.00278306
1220,0.00278056
1221,0.00277808
1222,0.00277562
1223,0.00277318
1224,0.00277076
1225,0.00276835
1226,0.00276596
1227,0.00276359
1228,0.00276124
1229,0.00275891
1230,0.00275659
1231,0.00275429
1232,0.002752
1233,0.00274974
1234,0.00274749
1235,0.00274525
1236,0.00274304
1237,0.00274084
1238,0.00273865
1239,0.00273648
1240,0.00273433
1241,0.0027322
1242,0.00273008
1243,0.00272797
1244,0.00272588
1245,0.00272381
1246,0.00272175
1247,0.00271971
1248,0.00271768
1249,0.00271567
1250,0.00271367
1251,0.00271169
1252,0.00270972
1253,0.00270777
1254,0.00270583
1255,0.00270391
1256,0.002702
1257,0.0027001
1258,0.00269822
1259,0.00269636
1260,0.0026945
1261,0.00269266
1262,0.00269084
1263,0.00268903
1264,0.00268723
1265,0.00268544
1266,0.00268367
1267,0.00268191
1268,0.00268017
1269,0.00267843
1270,0.00267671
1271,0.00267501
1272,0.00267331
1273,0.00267163
1274,0.00266996
1275,0.00266831
1276,0.00266667
1277,0.00266503
1278,0.00266341
1279,0.00266181
1280,0.00266021
1281,0.00265863
1282,0.00265706
1283,0.0026555
1284,0.00265395
1285,0.00265242
1286,0.00265089
1287,0.00264938
1288,0.00264788
1289,0.00264639
1290,0.00264491
1291,0.00264344
1292,0.00264198
1293,0.00264054
1294,0.0026391
1295,0.00263768
1296,0.00263627
1297,0.00263486
1298,0.00263347
1299,0.00263209
1300,0.00263072
1301,0.00262936
1302,0.00262801
1303,0.00262667
1304,0.00262534
1305,0.00262402
1306,0.0026227
1307,0.0026214
1308,0.00262011
1309,0.00261883
1310,0.00261756
1311,0.0026163
1312,0.00261505
1313,0.00261381
1314,0.00261258
1315,0.00261135
1316,0.00261014
1317,0.00260893
1318,0.00260774
1319,0.00260655
1320,0.00260537
1321,0.0026042
1322,0.00260305
1323,0.00260189
1324,0.00260075
1325,0.00259962
1326,0.00259849
1327,0.00259738
1328,0.00259627
1329,0.00259517
1330,0.00259408
1331,0.002593
1332,0.00259193
1333,0.00259086
1334,0.0025898
1335,0.00258875
1336,0.00258771
1337,0.00258668
1338,0.00258565
1339,0.00258464
1340,0.00258363
1341,0.00258262
1342,0.00258163
1343,0.00258064
1344,0.00257967
1345,0.00257869
1346,0.00257773
1347,0.00257677
1348,0.00257583
1349,0.00257488
1350,0.00257395
1351,0.00257302
1352,0.0025721
1353,0.00257119
1354,0.00257029
1355,0.00256939
1356,0.0025685
1357,0.00256761
1358,0.00256673
1359,0.00256586
1360,0.002565
1361,0.00256414
1362,0.00256329
1363,0.00256245
1364,0.00256161
1365,0.00256078
1366,0.00255995
1367,0.00255914
1368,0.00255832
1369,0.00255752
1370,0.00255672
1371,0.00255593
1372,0.00255514
1373,0.00255436
1374,0.00255359
1375,0.00255282
1376,0.00255206
1377,0.0025513
1378,0.00255055
1379,0.00254981
1380,0.00254907
1381,0.00254834
1382,0.00254761
1383,0.00254689
1384,0.00254618
1385,0.00254547
1386,0.00254477
1387,0.00254407
1388,0.00254338
1389,0.00254269
1390,0.00254201
1391,0.00254133
1392,0.00254066
1393,0.00254
1394,0.00253934
1395,0.00253868
1396,0.00253803
1397,0.00253739
1398,0.00253675
1399,0.00253612
1400,0.00253549
1401,0.00253486
1402,0.00253425
1403,0.00253363
1404,0.00253302
1405,0.00253242
1406,0.00253182
1407,0.00253123
1408,0.00253064
1409,0.00253005
1410,0.00252947
1411,0.0025289
1412,0.00252833
1413,0.00252776
1414,0.0025272
1415,0.00252665
1416,0.00252609
1417,0.00252555
1418,0.00252501
1419,0.00252447
1420,0.00252393
1421,0.0025234
1422,0.00252288
1423,0.00252236
1424,0.00252184
1425,0.00252133
1426,0.00252082
1427,0.00252032
1428,0.00251982
1429,0.00251932
1430,0.00251883
1431,0.00251834
1432,0.00251786
1433,0.00251738
1434,0.00251691
1435,0.00251644
1436,0.00251597
1437,0.00251551
1438,0.00251505
1439,0.00251459
1440,0.00251414
1441,0.00251369
1442,0.00251325
1443,0.00251281
1444,0.00251237
1445,0.00251194
1446,0.00251151
1447,0.00251108
1448,0.00251066
1449,0.00251024
1450,0.00250983
1451,0.00250942
1452,0.00250901
1453,0.00250861
1454,0.00250821
1455,0.00250781
1456,0.00250742
1457,0.00250703
1458,0.00250664
1459,0.00250626
1460,0.00250587
1461,0.0025055
1462,0.00250512
1463,0.00250475
1464,0.00250439
1465,0.00250402
1466,0.00250366
1467,0.0025033
1468,0.00250295
1469,0.0025026
1470,0.00250225
1471,0.00250191
1472,0.00250156
1473,0.00250122
1474,0.00250089
1475,0.00250055
1476,0.00250022
1477,0.0024999
1478,0.00249957
1479,0.00249925
1480,0.00249893
1481,0.00249862
1482,0.00249831
1483,0.002498
1484,0.00249769
1485,0.00249738
1486,0.00249708
1487,0.00249678
1488,0.00249649
1489,0.0024962
1490,0.00249591
1491,0.00249562
1492,0.00249533
1493,0.00249505
1494,0.00249477
1495,0.00249449
1496,0.00249422
1497,0.00249395
1498,0.00249368
1499,0.00249341
1500,0.00249314
1501,0.00249288
1502,0.00249262
1503,0.00249237
1504,0.00249211
1505,0.00249186
1506,0.00249161
1507,0.00249136
1508,0.00249112
1509,0.00249087
1510,0.00249063
1511,0.00249039
1512,0.00249016
1513,0.00248992
1514,0.00248969
1515,0.00248946
1516,0.00248924
1517,0.00248901
1518,0.00248879
1519,0.00248857
1520,0.00248835
1521,0.00248813
1522,0.00248792
1523,0.00248771
1524,0.0024875
1525,0.00248729
1526,0.00248709
1527,0.00248688
1528,0.00248668
1529,0.00248648
1530,0.00248628
1531,0.00248609
1532,0.0024859
1533,0.00248571
1534,0.00248552
1535,0.00248533
1536,0.00248514
1537,0.00248496
1538,0.00248478
1539,0.0024846
1540,0.00248442
1541,0.00248425
1542,0.00248407
1543,0.0024839
1544,0.00248373
1545,0.00248356
1546,0.0024834
1547,0.00248323
1548,0.00248307
1549,0.00248291
1550,0.00248275
1551,0.00248259
1552,0.00248244
1553,0.00248228
1554,0.00248213
1555,0.00248198
1556,0.00248183
1557,0.00248168
1558,0.00248154
1559,0.00248139
1560,0.00248125
1561,0.00248111
1562,0.00248097
1563,0.00248083
1564,0.0024807
1565,0.00248056
1566,0.00248043
1567,0.0024803
1568,0.00248017
1569,0.00248004
1570,0.00247991
1571,0.00247978
1572,0.00247966
1573,0.00247954
1574,0.00247942
1575,0.0024793
1576,0.00247918
1577,0.00247906
1578,0.00247895
1579,0.00247884
1580,0.00247872
1581,0.00247861
1582,0.0024785
1583,0.0024784
1584,0.00247829
1585,0.00247818
1586,0.00247808
1587,0.00247798
1588,0.00247787
1589,0.00247777
1590,0.00247767
1591,0.00247758
1592,0.00247748
1593,0.00247739
1594,0.00247729
1595,0.0024772
1596,0.00247711
1597,0.00247703
1598,0.00247694
1599,0.00247686
1600,0.00247678
1601,0.0024767
1602,0.00247662
1603,0.00247653
1604,0.00247645
1605,0.00247637
1606,0.00247629
1607,0.00247621
1608,0.00247613
1609,0.00247605
1610,0.00247598
1611,0.00247591
1612,0.00247584
1613,0.00247577
1614,0.0024757
1615,0.00247563
1616,0.00247556
1617,0.00247549
1618,0.00247543
1619,0.00247537
1620,0.0024753
1621,0.00247524
1622,0.00247518
1623,0.00247512
1624,0.00247506
1625,0.00247501
1626,0.00247495
1627,0.0024749
1628,0.00247484
1629,0.00247479
1630,0.00247474
1631,0.00247468
1632,0.00247463
1633,0.00247458
1634,0.00247454
1635,0.00247449
1636,0.00247444
1637,0.0024744
1638,0.00247435
1639,0.00247431
1640,0.00247427
1641,0.00247422
1642,0.00247418
1643,0.00247414
1644,0.00247411
1645,0.00247407
1646,0.00247403
1647,0.00247399
1648,0.00247396
